Year,CBPF Name,Total Allocation,Allocation (INGO),Allocation (NNGO),Allocation (Red Cross),Allocation (UN),Reserve Allocation (INGO),Reserve Allocation (NNGO),Reserve Allocation (Red Cross),Reserve Allocation (UN),Standard Allocation (INGO),Standard Allocation (NNGO),Standard Allocation (Red Cross),Standard Allocation (UN),Total Reserve Allocation,Total Standard Allocation,Total Under Approval Allocation,Under Approval Allocation (INGO),Under Approval Allocation (NNGO),Under Approval Allocation (Red),Under Approval Allocation (UN)
2026,"Afghanistan",8487068.4,4507794.83,3979273.57,0,0,4507794.83,3979273.57,0,0,0,0,0,0,8487068.4,0,700000,700000,0,0,0
2026,"Bangladesh (AP-RHPF)",145896619.05,9699947.87,13937203,226171,122033297.18,9699947.87,13937203,226171,122033297.18,0,0,0,0,145896619.05,0,0,0,0,0,0
2026,"Chad (RhPF-WCA)",72622999.44,8461054.01,5852012,529600,57780333.43,8461054.01,5852012,529600,57780333.43,0,0,0,0,72622999.44,0,24649707.39,23808585.39,420561,0,0
2026,"DRC",71024958.48,20641427.9,4827200.55,350000,45206330.03,20641427.9,4827200.55,350000,45206330.03,0,0,0,0,71024958.48,0,78899999.98,50273474.01,3653076,0,24973449.97
2026,"Ethiopia",96999986.87,24086275,13362719.84,0,59550992.03,24086275,13362719.84,0,59550992.03,0,0,0,0,96999986.87,0,5472802.96,0,5472802.96,0,0
2026,"Fiji (AP-Rhpf)",350000,350000,0,0,0,350000,0,0,0,0,0,0,0,350000,0,0,0,0,0,0
2026,"Haiti (RhPF-LAC)",12360586,11772121,588465,0,0,11772121,588465,0,0,0,0,0,0,12360586,0,109139414.18,18993055,7676470,0,82469889.18
2026,"Kenya (ESAHF)",48481145.28,16771425.61,1895431,1716761,28097527.67,16771425.61,1895431,1716761,28097527.67,0,0,0,0,48481145.28,0,0,0,0,0,0
2026,"Lebanon",9718894.73,4748502,4874092.73,0,96300,4748502,4874092.73,0,96300,0,0,0,0,9718894.73,0,5242199.24,3597231.49,1644967.75,0,0
2026,"Mozambique (RhPF)",62299935.26,25230063.05,8563155.44,0,28506716.77,25230063.05,8563155.44,0,28506716.77,0,0,0,0,62299935.26,0,21039451.63,1122962,6304945.63,0,13611544
2026,"Myanmar",130931808.67,26403114.13,53465449,146426,50916819.54,26403114.13,53465449,146426,50916819.54,0,0,0,0,130931808.67,0,5000000,3576197,1423803,0,0
2026,"Nigeria",47200055.05,32532710,5712622.95,0,8954722.1,32532710,5712622.95,0,8954722.1,0,0,0,0,47200055.05,0,74300000.43,9252028,2885612,0,62162360.43
2026,"South Sudan",97199884.19,29147194.79,9028507.32,0,59024182.08,29147194.79,9028507.32,0,59024182.08,0,0,0,0,97199884.19,0,5499956.79,0,1500000,0,3999956.79
2026,"Sudan",206500000.03,90353000.01,2147000,0,114000000.02,90353000.01,2147000,0,114000000.02,0,0,0,0,206500000.03,0,0,0,0,0,0
2026,"Syria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117900000,53651929,9008407,0,55125734
2026,"Uganda (ESAHF)",10015002.92,4800000,0,0,5215002.92,4800000,0,0,5215002.92,0,0,0,0,10015002.92,0,62884989.9,12342496.07,1507527,0,49034966.83
2026,"Ukraine",157334076.65,54180078.86,63958094.99,199080.99,38996821.81,49688705.99,62014472.99,0,38996821.81,4491372.87,1943622,199080.99,0,150700000.79,6634075.86,78635672.48,22127720.2,56507952.28,0,0
2026,"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5999968.8,2367321.37,3332645.22,0,0
2025,"Afghanistan",73438742.96,34788354.11,28103223.23,0,10547165.62,34788354.11,21435997.72,0,10547165.62,0,6667225.51,0,0,66771517.45,6667225.51,0,0,0,0,0
2025,"Burkina Faso (RhPF-WCA)",8997558.19,5306341.01,3691217.18,0,0,5306341.01,3691217.18,0,0,0,0,0,0,8997558.19,0,477292,477292,0,0,0
2025,"CAR",17200000.04,8765705.04,8434295,0,0,8765705.04,8434295,0,0,0,0,0,0,17200000.04,0,300000,300000,0,0,0
2025,"Chad (RhPF-WCA)",10616291.93,6719280.98,3614450.95,282560,0,6719280.98,3614450.95,282560,0,0,0,0,0,10616291.93,0,0,0,0,0,0
2025,"Colombia (RhPF-LAC)",1232971.79,0,1232971.79,0,0,0,0,0,0,0,1232971.79,0,0,0,1232971.79,169369.04,0,169369.04,0,0
2025,"DRC",43695189.19,15366999.59,27823674.6,350000,154515,8033595.22,15157256.35,350000,154515,7333404.37,12666418.25,0,0,23695366.57,19999822.62,0,0,0,0,0
2025,"Ethiopia",44200860.68,11238832.92,32962027.76,0,0,8380413.92,18813341.94,0,0,2858419,14148685.82,0,0,27193755.86,17007104.82,0,0,0,0,0
2025,"Haiti (RhPF-LAC)",4657246.26,1795170.69,2862075.57,0,0,300000,200000,0,0,1495170.69,2662075.57,0,0,500000,4157246.26,0,0,0,0,0
2025,"Lebanon",35093106.64,19554696.93,15388409.75,0,149999.96,0,0,0,149999.96,19554696.93,15388409.75,0,0,149999.96,34943106.68,0,0,0,0,0
2025,"Mali (RhPF-WCA)",8012337.23,4564866.63,3447470.6,0,0,4564866.63,3447470.6,0,0,0,0,0,0,8012337.23,0,0,0,0,0,0
2025,"Mozambique (RhPF)",2287877.25,0,2172286.25,0,115591,0,1000000,0,115591,0,1172286.25,0,0,1115591,1172286.25,124596.15,0,124596.15,0,0
2025,"Myanmar",35848382.97,6363889.31,29314854.79,0,169638.87,896789,4050801.07,0,0,5467100.31,25264053.72,0,169638.87,4947590.07,30900792.9,0,0,0,0,0
2025,"Niger (RhPF-WCA)",4998011.6,1580689,3417322.6,0,0,1580689,3417322.6,0,0,0,0,0,0,4998011.6,0,0,0,0,0,0
2025,"Nigeria",19598025.85,5252790.32,13945405.67,299829.24,100000.62,0,1799999.82,199828.61,100000.62,5252790.32,12145405.85,100000.63,0,2099829.05,17498196.8,0,0,0,0,0
2025,"oPt",75934428,29743263.34,39149082.38,0,7042082.28,29743263.34,39149082.38,0,7042082.28,0,0,0,0,75934428,0,27791479.23,4383205.43,11876063.05,0,11532210.75
2025,"Pakistan (AP-RHPF)",1632784.64,81884,1550900.64,0,0,0,748157,0,0,81884,802743.64,0,0,748157,884627.64,0,0,0,0,0
2025,"Somalia",61049605.32,13947115.43,46853340.96,0,249148.93,9956919.48,22838573.03,0,249148.93,3990195.95,24014767.93,0,0,33044641.44,28004963.88,0,0,0,0,0
2025,"South Sudan",44425815.09,10266493.83,20604084.67,0,13555236.59,5897936.27,10359967.32,0,8529728.22,4368557.56,10244117.35,0,5025508.37,24787631.81,19638183.28,774436.55,414436.39,360000.16,0,0
2025,"Sudan",164374307.69,117842420.46,42212335.63,319551,4000000.6,51925069.35,12929739.5,0,4000000.6,65917351.11,29282596.13,319551,0,68854809.45,95519498.24,2098128.28,938096,1160032.28,0,0
2025,"Syria",50247241.08,28610987.44,15548999.18,1123827.63,4963426.83,7230826.01,3481563.29,0,832881.01,21380161.43,12067435.89,1123827.63,4130545.82,11545270.31,38701970.77,0,0,0,0,0
2025,"Syria Cross border",49115752.38,10261319.71,37927756.77,926675.9,0,1500000,2639879.37,0,0,8761319.71,35287877.4,926675.9,0,4139879.37,44975873.01,0,0,0,0,0
2025,"Ukraine",201927328.03,63501969.25,138425358.78,0,0,16053738.91,61090899.36,0,0,47448230.34,77334459.42,0,0,77144638.27,124782689.76,0,0,0,0,0
2025,"Venezuela",8965515.94,1483513.31,7482002.63,0,0,1483513.31,7482002.63,0,0,0,0,0,0,8965515.94,0,0,0,0,0,0
2025,"Yemen",42616680.75,6012090.58,27278932.89,2548014.45,6777642.83,0,0,0,1999999.76,6012090.58,27278932.89,2548014.45,4777643.07,1999999.76,40616680.99,0,0,0,0,0
2024,"Afghanistan",55213329.07,29934828.76,15683305.15,0,9595195.16,21164563.02,12728347.32,0,6639640.59,8770265.74,2954957.83,0,2955554.57,40532550.93,14680778.14,0,0,0,0,0
2024,"Burkina Faso (RhPF-WCA)",13999919.98,9786289.24,3713746.03,499884.71,0,0,0,0,0,9786289.24,3713746.03,499884.71,0,0,13999919.98,0,0,0,0,0
2024,"CAR",18499917.63,11868135.3,6131782.31,0,500000.02,2387197,1112803.43,0,500000.02,9480938.3,5018978.88,0,0,4000000.45,14499917.18,0,0,0,0,0
2024,"Colombia (RhPF-LAC)",3006015.08,0,3006015.08,0,0,0,1357381.55,0,0,0,1648633.53,0,0,1357381.55,1648633.53,0,0,0,0,0
2024,"DRC",37000000.09,13016461.02,23983539.07,0,0,4519163.01,13680837.02,0,0,8497298.01,10302702.05,0,0,18200000.03,18800000.06,0,0,0,0,0
2024,"Ethiopia",63903768.73,35515165.6,28194168.13,194435,0,18610242.02,13899362.58,194435,0,16904923.58,14294805.55,0,0,32704039.6,31199729.13,0,0,0,0,0
2024,"Haiti (RhPF-LAC)",4026011.8,1673829.73,2352182.07,0,0,0,0,0,0,1673829.73,2352182.07,0,0,0,4026011.8,0,0,0,0,0
2024,"Lebanon",65617457.71,37787304.05,27830153.66,0,0,22908298.63,18685019.38,0,0,14879005.42,9145134.28,0,0,41593318.01,24024139.7,0,0,0,0,0
2024,"Mali (RhPF-WCA)",4199985.61,2833484,1366501.61,0,0,0,0,0,0,2833484,1366501.61,0,0,0,4199985.61,0,0,0,0,0
2024,"Myanmar",27894424.96,8218831.39,18908386.57,0,767207,1864071.27,6135901.1,0,0,6354760.12,12772485.47,0,767207,7999972.37,19894452.59,0,0,0,0,0
2024,"Niger (RhPF-WCA)",8777317.27,3150931.59,5626385.68,0,0,0,1899443.81,0,0,3150931.59,3726941.87,0,0,1899443.81,6877873.46,0,0,0,0,0
2024,"Nigeria",18999922.94,9384373.27,9015549.67,0,600000,9384373.27,9015549.67,0,600000,0,0,0,0,18999922.94,0,0,0,0,0,0
2024,"oPt",49481106.72,15865246.5,19022494.71,0,14593365.51,3343195.39,7154412.82,0,9041866.92,12522051.11,11868081.89,0,5551498.59,19539475.13,29941631.59,0,0,0,0,0
2024,"Somalia",33337080.75,6887445.76,26049668.06,399966.93,0,2363945.77,5996991.74,0,0,4523499.99,20052676.32,399966.93,0,8360937.51,24976143.24,0,0,0,0,0
2024,"South Sudan",38917034.64,14147447.2,12777569.65,0,11992017.79,5138488.52,4721927.26,0,9100148.69,9008958.68,8055642.39,0,2891869.1,18960564.47,19956470.17,0,0,0,0,0
2024,"Sudan",180666178.76,133618843.23,42258398.11,0,4788937.42,133618843.23,42258398.11,0,4788937.42,0,0,0,0,180666178.76,0,0,0,0,0,0
2024,"Syria",35029130.76,19518372.95,9872214.3,686801.57,4951741.94,0,0,0,0,19518372.95,9872214.3,686801.57,4951741.94,0,35029130.76,0,0,0,0,0
2024,"Syria Cross border",69311090.32,16667956.55,48432159.89,1058822.98,3152150.9,6275021.82,20403744.98,0,2120938.78,10392934.73,28028414.91,1058822.98,1031212.12,28799705.58,40511384.74,0,0,0,0,0
2024,"Ukraine",164338871.75,63143920.14,96102565.86,92690,4999695.75,34256295.62,48908973.91,0,4999695.75,28887624.52,47193591.95,92690,0,88164965.28,76173906.47,0,0,0,0,0
2024,"Venezuela",12613729.78,3174980.99,8438748.79,1000000,0,1324609.03,2757312.9,1000000,0,1850371.96,5681435.89,0,0,5081921.93,7531807.85,0,0,0,0,0
2024,"Yemen",37084897.52,8650945.35,26233477.13,0,2200475.04,2630247.41,2806097.47,0,1500000,6020697.94,23427379.66,0,700475.04,6936344.88,30148552.64,0,0,0,0,0
2023,"Afghanistan",134957920.4,28742944.05,28192585.42,0,78022390.93,1873628.09,13497863.32,0,11170361.39,26869315.96,14694722.1,0,66852029.54,26541852.8,108416067.6,0,0,0,0,0
2023,"Burkina Faso (RhPF-WCA)",20032043.22,12289226.92,6908125.3,834691,0,0,0,0,0,12289226.92,6908125.3,834691,0,0,20032043.22,0,0,0,0,0
2023,"CAR",15797063.92,9141323.16,4056667.08,0,2599073.68,300000.23,0,0,2499073.68,8841322.93,4056667.08,0,100000,2799073.91,12997990.01,0,0,0,0,0
2023,"DRC",42981475.66,15061873.02,26652706.64,400000,866896,15061873.02,26652706.64,400000,866896,0,0,0,0,42981475.66,0,0,0,0,0,0
2023,"Ethiopia",59982606.78,31899056.37,27133812.41,700000,249738,12787772.58,11245181.09,700000,249738,19111283.79,15888631.32,0,0,24982691.67,34999915.11,0,0,0,0,0
2023,"Lebanon",26686329.11,13128449.38,13557879.73,0,0,5504809.67,4544708.39,0,0,7623639.71,9013171.34,0,0,10049518.06,16636811.05,0,0,0,0,0
2023,"Mali (RhPF-WCA)",5347230.34,3781122,1566108.34,0,0,0,0,0,0,3781122,1566108.34,0,0,0,5347230.34,0,0,0,0,0
2023,"Myanmar",35639378.82,11080976.05,20780299.08,0,3778103.69,2020971,2750607.45,0,3375080.62,9060005.05,18029691.63,0,403023.07,8146659.07,27492719.75,0,0,0,0,0
2023,"Niger (RhPF-WCA)",10993493,6756795.65,4236697.35,0,0,0,0,0,0,6756795.65,4236697.35,0,0,0,10993493,0,0,0,0,0
2023,"Nigeria",23973602.54,8628636.32,14198697.36,0,1146268.86,6781471.29,4194736.53,0,0,1847165.03,10003960.83,0,1146268.86,10976207.82,12997394.72,0,0,0,0,0
2023,"oPt",87674576.38,44239527.77,21193159.91,0,22241888.7,34916160.3,12059907.39,0,20438844.47,9323367.47,9133252.52,0,1803044.23,67414912.16,20259664.22,0,0,0,0,0
2023,"Somalia",56628902.28,13805379.31,39298015.85,0,3525507.12,7839640.77,20651489.29,0,3525507.12,5965738.54,18646526.56,0,0,32016637.18,24612265.1,0,0,0,0,0
2023,"South Sudan",55600285.76,17566867.55,5667045.35,0,32366372.86,17566867.55,5667045.35,0,32366372.86,0,0,0,0,55600285.76,0,0,0,0,0,0
2023,"Sudan",81211049.33,58159362.4,14956641.31,513665,7581380.62,58159362.4,14956641.31,513665,7581380.62,0,0,0,0,81211049.33,0,0,0,0,0,0
2023,"Syria",62485132.46,30687710.11,16465232,375882,14956308.35,12287124.96,8991754.55,226557,9884032.52,18400585.15,7473477.45,149325,5072275.83,31389469.03,31095663.43,0,0,0,0,0
2023,"Syria Cross border",140187123.02,30435333.36,90581868.6,675849.45,18494071.61,23289270.37,67097432.96,101217.13,18094176.45,7146062.99,23484435.64,574632.32,399895.16,108582096.91,31605026.11,0,0,0,0,0
2023,"Ukraine",183672269.28,89999596.45,61201611.95,0,32471060.88,57555274.94,22538910.72,0,32471060.88,32444321.51,38662701.23,0,0,112565246.54,71107022.74,0,0,0,0,0
2023,"Venezuela",12163016.5,2150156.94,10012859.56,0,0,0,0,0,0,2150156.94,10012859.56,0,0,0,12163016.5,0,0,0,0,0
2023,"Yemen",85897174.57,19720774.02,39859561.99,2122070.36,24194768.2,8006701.47,18890805.55,122145,19200632.05,11714072.55,20968756.44,1999925.36,4994136.15,46220284.07,39676890.5,0,0,0,0,0
2022,"Afghanistan",282670724.47,84258131.14,70032757.03,0,128379836.3,52429023.05,37154154.46,0,76867225.72,31829108.09,32878602.57,0,51512610.58,166450403.23,116220321.24,0,0,0,0,0
2022,"Burkina Faso (RhPF-WCA)",29449688.4,19952047.38,8875555.28,622085.74,0,5966675.36,3533045.46,0,0,13985372.02,5342509.82,622085.74,0,9499720.82,19949967.58,0,0,0,0,0
2022,"CAR",29493646.31,20616048.44,2878003.1,0,5999594.77,7472556.31,1611009.64,0,3312234.51,13143492.13,1266993.46,0,2687360.26,12395800.46,17097845.85,0,0,0,0,0
2022,"DRC",38434815.36,13961642.88,21031895.24,599999.29,2841277.95,4676717.33,4146429.29,599999.29,576852.54,9284925.55,16885465.95,0,2264425.41,9999998.45,28434816.91,0,0,0,0,0
2022,"Ethiopia",63908474.3,36946218.41,24774732.17,0,2187523.72,12019162.2,9820273.93,0,2187523.72,24927056.21,14954458.24,0,0,24026959.85,39881514.45,0,0,0,0,0
2022,"Iraq",8386519.22,5062973.13,3323546.09,0,0,0,0,0,0,5062973.13,3323546.09,0,0,0,8386519.22,0,0,0,0,0
2022,"Jordan",400000.02,0,0,400000.02,0,0,0,400000.02,0,0,0,0,0,400000.02,0,0,0,0,0,0
2022,"Lebanon",28340770.36,19784671.81,7866307.34,0,689791.21,8464257.84,3182992.54,0,689791.21,11320413.97,4683314.8,0,0,12337041.59,16003728.77,0,0,0,0,0
