Year,Cluster,Agency,Budget
2026,To be determined,,6000000
2026,Health,WHO,375000
2026,Water Sanitation Hygiene,UNICEF,375000
2026,To be determined,,6500000
2026,Agriculture,FAO,900000.01
2026,Food Aid,WFP,600000
2026,Health,WHO,350000
2026,Nutrition,UNICEF,260000
2026,Water Sanitation Hygiene,UNICEF,390000
2026,Agriculture,FAO,915000
2026,Nutrition,UNICEF,342513.66
2026,Water Sanitation Hygiene,UNICEF,662036.11
2026,Multi-purpose CASH,UNICEF,380463.02
2026,Agriculture,FAO,1250000
2026,Health,WHO,999999.49
2026,Nutrition,UNICEF,499950.2
2026,Water Sanitation Hygiene,UNICEF,1000050.4
2026,Multi-purpose CASH,WFP,1250000.02
2026,Agriculture,FAO,1200000
2026,Food Aid,WFP,320000
2026,Health,WHO,400000
2026,Nutrition,UNICEF,400000
2026,Water Sanitation Hygiene,UNICEF,400000
2026,Multi-purpose CASH,WFP,1280000
2026,Agriculture,FAO,1200000
2026,Food Aid,WFP,1600000
2026,Health,WHO,400000
2026,Nutrition,UNICEF,400000
2026,Water Sanitation Hygiene,UNICEF,400000
2026,Education,UNICEF,200116.77
2026,Shelter and Non-Food Items,IOM,545000
2026,Agriculture,FAO,790000.09
2026,Food Aid,WFP,1450068.48
2026,Health,WHO,799999.28
2026,Protection,UNICEF,290108.04
2026,Water Sanitation Hygiene,UNICEF,385176.64
2026,Common Services,WFP,39932.01
2026,Camp Coordination / Management,IOM,530970
2026,Shelter and Non-Food Items,IOM,1619030
2026,Food Aid,WFP,2305148.59
2026,Health,UNICEF,899960.15
2026,Health,UNFPA,300000
2026,Protection,UNHCR,800000
2026,Protection,UNICEF,100099.99
2026,Protection,UNFPA,300000
2026,Water Sanitation Hygiene,UNICEF,1599940.23
2026,Common Services,WFP,1055048.5899999999
2026,Shelter and Non-Food Items,IOM,2000000.13
2026,Agriculture,FAO,1000000
2026,Food Aid,WFP,1250000
2026,Health,WHO,1500000
2026,Nutrition,UNICEF,999990.44
2026,Protection,UNHCR,1000001.47
2026,Water Sanitation Hygiene,UNICEF,2249408.0300000003
2026,To be determined,,4000000
2026,To be determined,,7200000
2026,Shelter and Non-Food Items,IOM,1500000
2026,Food Aid,WFP,2000077.21
2026,Health,WHO,1333408.8
2026,Health,UNFPA,666589.35
2026,Nutrition,WFP,299919.58
2026,Nutrition,UNICEF,699932.49
2026,Protection,UNICEF,599942.13
2026,Protection,UNFPA,900013.11
2026,Water Sanitation Hygiene,UNICEF,2000137.11
2026,To be determined,,13000000
2026,To be determined,,800000